starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 27 23:37:08 2017	1493336228	1	1	2	1
Thu Apr 27 23:37:08 2017	1493336228	1	2	3	1
Thu Apr 27 23:37:08 2017	1493336228	2	2	4	1
Thu Apr 27 23:37:08 2017	1493336228	2	2	4	1
Thu Apr 27 23:37:08 2017	1493336228	2	2	4	1
Thu Apr 27 23:37:08 2017	1493336228	1	4	4	3
Thu Apr 27 23:37:08 2017	1493336228	0	4	4	4
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	4
Thu Apr 27 23:37:08 2017	1493336228	1	3	5	3
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	4
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	4
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	3	2	5	1
Thu Apr 27 23:37:08 2017	1493336228	2	3	5	2
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	3
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	1	4	5	2
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	4
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	4
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	1	4	5	3
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	4
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	4
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	1	4	5	3
Thu Apr 27 23:37:08 2017	1493336228	2	3	5	3
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	4
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	4
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	4
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	2	3	5	1
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	4
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	4
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	4
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	5
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	4
Thu Apr 27 23:37:08 2017	1493336228	0	5	5	4
